Dep_Airport,AIRPORT,CITY,STATE,Performance_Tier,total_flights,avg_dep_delay,delay_volatility,unique_airlines,LATITUDE,LONGITUDE
TTN,Trenton Mercer Airport,Trenton,NJ,1,2162,19.050878815911194,74.16797600175728,1,40.27669,-74.81347
TUL,Tulsa International Airport,Tulsa,OK,3,16028,6.557898677314699,46.12067535231886,10,36.19837,-95.88824
TUS,Tucson International Airport,Tucson,AZ,3,16597,7.592878231005604,54.336865416140874,7,32.11608,-110.94103
TVC,Cherry Capital Airport,Traverse City,MI,0,3880,10.001288659793815,57.173613821777785,9,44.74144,-85.58224
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,1,1045,18.179904306220095,107.20716230465264,1,33.45371,-93.99102
TYR,Tyler Pounds Regional Airport,Tyler,TX,3,1036,9.487451737451737,47.03776709422151,1,32.35414,-95.40239
TYS,McGhee Tyson Airport,Knoxville,TN,0,13774,8.184478002032815,58.156204032584704,9,35.81249,-83.99286
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,2,8949,13.728573024918985,84.49735529230742,8,30.48325,-86.5254
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,0,11502,9.145366023300296,60.29842095303605,10,36.28187,-94.30681
XWA,Williston Basin International Airport,Williston,ND,2,1637,16.870494807574833,67.09327587792461,1,48.147,-103.618
YUM,Yuma International Airport,Yuma,AZ,2,1602,9.181647940074907,74.7534199328774,2,32.65658,-114.60597
